1. (QB1) Josh Allen, BUF $60 7 81. (QB20) Jameis Winston, NO $4 14 161. (WR65) Mecole Hardman, KC $0 8 241. (WR82) Nick Westbrook-Ikhine, TEN $0 6
2. (QB2) Patrick Mahomes, KC $58 8 82. (WR31) Hunter Renfrow, LV $4 6 162. (WR66) Michael Gallup, DAL $0 9 242. (WR83) K.J. Osborn, MIN $0 7
3. (QB3) Justin Herbert, LAC $57 8 83. (WR32) JuJu Smith-Schuster, KC $4 8 163. (WR67) Nico Collins, HOU $0 6 243. (WR84) Odell Beckham Jr., FA $0 -
4. (RB1) Jonathan Taylor, IND $56 14 84. (WR33) Adam Thielen, MIN $4 7 164. (TE19) Evan Engram, JAC $0 11 244. (WR85) Sterling Shepard, NYG $0 9
5. (QB4) Lamar Jackson, BAL $55 10 85. (WR34) Rashod Bateman, BAL $4 10 165. (QB29) Davis Mills, HOU $0 6 245. (WR86) Randall Cobb, GB $0 14
6. (RB2) Christian McCaffrey, CAR $52 13 86. (WR35) Drake London, ATL $4 14 166. (QB30) Marcus Mariota, ATL $0 14 246. (WR87) Corey Davis, NYJ $0 10
7. (QB5) Kyler Murray, ARI $50 13 87. (WR36) Christian Kirk, JAC $3 11 167. (QB31) Kenny Pickett, PIT $0 9 247. (WR88) A.J. Green, ARI $0 13
8. (WR1) Cooper Kupp, LAR $50 7 88. (WR37) Tyler Lockett, SEA $3 11 168. (QB32) Drew Lock, SEA $0 11 248. (WR89) Chris Conley, HOU $0 6
9. (QB6) Jalen Hurts, PHI $49 7 89. (WR38) DeVonta Smith, PHI $3 7 169. (DST1) Bills D/ST, BUF $1 7 249. (WR90) Parris Campbell, IND $0 14
10. (RB3) Austin Ekeler, LAC $48 8 90. (WR39) Elijah Moore, NYJ $3 10 170. (DST2) Saints D/ST, NO $1 14 250. (RB72) Gus Edwards, BAL $0 10
11. (QB7) Dak Prescott, DAL $46 9 91. (TE6) Dalton Schultz, DAL $3 9 171. (DST3) Packers D/ST, GB $1 14 251. (RB73) Damien Williams, ATL $0 14
